,script
0,# 为中国点赞👍，为我们医务工作者点赞👍，#抗疫#抖音小助手 #穿越时空只想见你
1,#2020 盘点2020那些事儿，“20个数字穿越2020” #抗疫  #火神山  #嫦娥五号
2,#2020上海宝马工程机械展 上海加油#抗疫
3,#4月4日全国哀悼 柘木所全体民辅警哀悼#抗疫 烈士和逝世同胞@平安湖北 @荆州公安
4,#NZ#lockdown#stayhome 老外写中文 #抗疫#快乐宅家同心抗疫
5,#cba #林书豪 #抗疫 砥砺前行的华裔面孔，林书豪
6,#cctv 再次点名！鱼跃为全球#抗疫 注入更多#中国力量 ！
7,#dou上热门 #bo #抗疫
8,#dou是盛京范儿  #航拍  #夜景  #抗疫  #沈阳  #浑南  沈阳
9,#dou是盛京范儿 #抗美援朝 #抗疫 #老兵 #美国疫情 #美国   70年前没怕过，70年间没怂过。
10,#dou爱美好东丽  张伯礼判断防疫关键期（上）#抗疫
11,#vlog我的日常 #抗疫 #海外抗疫情 #新西兰 #宅在家健身
12,#一个懂事的让人心疼的坚强小男孩 #在一起#观影报告#抗疫 #致敬我们的英雄 #抖音小助手 #正能量
13,#一线#抗疫 #交警 坚守岗位，被晒出口罩脸仍不自知，致敬#最可爱的人 ！#口罩 #新型冠状病毒 #抗击疫情
14,#七夕#乌鲁木齐#抗疫#感谢抖音 @抖音小助手
15,#三亚战疫英雄苏忠宁抢救无效去世 一路走好！愿天堂没有病痛！#海南#抗疫
16,#三人舞 #三人合拍 #抗疫 #白衣天使
17,#三农  #抗疫 #春耕大势 #春耕#防疫情保春耕 @农影智造 @中国三农发布 防疫保春耕，稳产保供我们在行动
18,#三台#抗疫 三台县抗疫原创歌曲《因为爱》，感人上线，第四段，请老乡们转发扩散，谢谢
19,#三峡大学#官宣#抗疫 一线医护人员子女2020年报考，满足第一志愿#高考加油！我等你来
20,#上海 援鄂#医疗队 #抗疫 #一线：祝愿明天会更好！ #战胜疫情dou行动
21,#上海9岁#男孩震撼#英文 #抗疫演讲
22,#上海公交 坚持不聚集☕停驶4小时依然不进休息室呆大车上💪如果是你累到喷不动！#抗疫#自娱自乐@抖音小助手
23,#下雪 #陈仓观察 #为美好而来 #抗疫
24,#不传谣不造谣 #热点 #抗疫
25,#不放弃 #幼师 #抗疫 东游中心幼儿园的宝贝们，老师等你回来🥰🥰🥰
26,#世上没有从 #天而降的 #英雄，只有挺身而出的凡 #人。 #致敬我们的 #抗疫 #英雄！
27,#世卫称新冠病毒在中国传播水平极低 #抗疫 #江苏全民目击
28,#世界各国向中国学习#抗疫
29,#东京上空飞行队表演 向#抗疫 医护人员致敬！#东京2020 感谢有你，一起加油！⛽️
30,#东盟 #南海 #外交 #抗疫#经济 @央视新闻 @外交部发言人办公室 @抖音小助手 @人民网 @人民日报国际
31,#中医 #中药 #抗疫 效果亮眼老祖宗留下的#智慧 你知道吗#高考 @抖音小助手
32,#中医药 #抗疫用疗效说话，王者归来！ #面试 #国考公考
33,#中医药#抗疫作用很大 科学化 量化 一定发扬光大 #张伯礼 #仝小林
34,#中国 有这样一群勇敢无畏的人，中国一定能行！大连加油！中国🇨🇳加油！#抗疫 #加油
35,#中国 赴#俄罗斯 #抗疫 #医疗专家组 圆满完成任务，#凯旋 回国@抖音小助手
36,#中国不养巨婴 #矿泉水女留学生 #抗疫 中国不养巨婴也不需要巨婴，请你快走，哪里来的巨婴
37,#中国专家组把这些“ #抗疫财富”带给 #伊拉克  #疫情全知道
38,#中国人#在#马来西亚#抗疫#靠什么？靠谁？@抖音小助手 @DOU+小助手
39,#中国军队向伊朗武装力量援助抗疫物资 #伊朗#加油#抗疫#必胜
40,#中国历史上#抗疫 第一人，伍连德 #涨知识
41,#中国政府赴阿尔及利亚、苏丹专家组完成#抗疫任务平安归来！
42,#中国文艺志愿者 #文艺志愿者 #书法 #抗疫 @小志在线 @抖音小助手以书抗疫！
43,#中国机长原班人马筹拍抗疫电影中国医生 钟南山：#要多采访在一线埋头苦干的医务人员 #抗疫 #医务人员
44,#中国经济崛起、 #抗疫成功的深层原因是什么，人大教授金灿荣这样解释
45,#中国赴 #塞尔维亚 #抗疫专家组回国 #致敬 ！
46,#中国赴布基纳法索#抗疫#医疗专家组从#天津出发#疫情 #非洲 #中国援助
47,#中美  #抗疫 模式有何差别？ @抖音小助手  @DOU+小助手
48,#为一线员工点赞 #我的白大褂 #医者仁心 #医护日常 #健康 #实验室 #医生 #致敬医护人员 #抗疫
49,#为一线员工点赞 #排队 #抗疫 #石家庄 #河北美好推荐官 石家庄，我们都好好的，分享首歌曲《石家庄石家庄》
50,#乌鲁木齐 #抗疫  全部完成对所有隔离人员核酸检测。
51,#乌鲁木齐#抗疫#老而不尊#感谢抖音平台 @抖音小助手
52,#乘风破浪的姐姐  #抗疫 #发热门诊 病毒🦠快快跑，在发热门诊滴每一天也要开开心心的鸭🦆
53,#云南 这两地将启动#新冠病毒 #灭活疫苗 II期#临床实验 ！#抗疫
54,#五四精神传承有我 #抗疫 #西部航空 撼山易，憾中国人民难！
55,#亲子互动新花样， #抗疫拍手 #儿歌，一起唱起来！ #碰碰狐#育儿 #启蒙
56,#人间最美四月天。风景好美，空气好甜，心情好的不得了😇#抗疫 #口罩口罩
57,#今天我当差#抗疫@DOU+小助手
58,#仝小林院士_在 #抗疫火线炼制“ #清肺排毒汤”有效率97%
59,#以国之名 ，#致敬英雄 ！铜仁这两名#抗疫 #英雄 ，获#国家 级#表彰！@抖音小助手
60,#伊朗 多名官员#确诊，#抗疫 形势严峻，#中国“回赠”25万只#口罩。#众志成城共抗疫情 #抗击新型肺炎
