text,label
Gilmartin,0
Pett,0
Dunne,0
Pawson,0
Hurrell,0
Hadad,0
Kattan,0
Wallis,0
Drew,0
Moffat,0
Enright,0
Dagher,0
Sarraf,0
Snow,0
Oddie,0
Nair,0
Safar,0
Aitken,0
Hart,0
Etherington,0
Assaf,0
Ibrahim,0
Shan,1
Maroun,0
Widdows,0
Yao,1
Kirkby,0
Mustafa,0
Elzer,0
Cutts,0
Perkin,0
Pillay,0
Zeng,1
Nahas,0
Antoun,0
Abboud,0
Rowe,0
Atiyeh,0
Asker,0
Alliott,0
Rockliffe,0
Halabi,0
Raine,0
Arnett,0
Mansour,0
Fakhoury,0
Shalhoub,0
Laverick,0
Tips,0
Mohamed,0
Joseph,0
Essa,0
Allard,0
Shu,1
Nowak,0
Plummer,0
Elsdon,0
Hadad,0
Srour,0
Hajjar,0
Dunning,0
Troon,0
Sleiman,0
Fitch,0
Froy,0
Baz,0
Mcconnell,0
Totah,0
Isa,0
Tuma,0
Gaber,0
Xiao,1
Mortimer,0
Halabi,0
Toal,0
Gok,1
Srour,0
Dorrian,0
Gonzalez,0
Najjar,0
Whitlock,0
Pike,0
Qureshi,0
Sisson,0
Helley,0
Stubbs,0
Prince,0
Tannous,0
Que,1
Kibblewhite,0
Raven,0
Basara,0
Hilton,0
Jewson,0
Kilbee,0
Gaber,0
Abadi,0
Yusuf,0
Picot,0
Sherriff,0
Hutchinson,0
Elms,0
Halabi,0
Milligan,0
Isman,0
Bethell,0
Pinder,0
Boutros,0
Upsdell,0
Rosenbloom,0
Pyle,0
Gan,1
Keir,0
Linley,0
Oaks,0
Neville,0
Steer,0
Daher,0
Odriscoll,0
Rainey,0
Oneil,0
Quraishi,0
Durand,0
Naifeh,0
Kanaan,0
Jolly,0
Naifeh,0
Kassis,0
Coll,0
Toma,0
Hakimi,0
Bishara,0
Zogby,0
Jefford,0
Batt,0
Innalls,0
Hopwood,0
Kalb,0
Masters,0
Nero,0
Greig,0
Qureshi,0
Vancoller,0
Yin,1
Ayley,0
Denney,0
Valmary,0
Kenward,0
Oatridge,0
Ghanem,0
Colley,0
Kassis,0
Khouri,0
Aspinall,0
Thirlway,0
Antoun,0
Pilkington,0
Adkins,0
Dean,0
Asker,0
Harb,0
Qureshi,0
Speed,0
Richardson,0
Atiyeh,0
Khoury,0
Sarraf,0
Newstead,0
Rivers,0
Mooney,0
Osborn,0
Plant,0
Frey,0
Nader,0
Basara,0
Holland,0
Handley,0
Odling,0
Paine,0
Nassar,0
Eansworth,0
Tugwell,0
Neeson,0
Underdown,0
Mifsud,0
Carr,0
Mustafa,0
Ghannam,0
Botros,0
Essam,0
Naifeh,0
Spencer,0
Ghanem,0
Twiggs,0
Gibbon,0
Aikman,0
Geyer,0
Yang,1
Rawlings,0
Mcdonnell,0
Tunstall,0
Marsh,0
Atiyeh,0
Baz,0
Abadi,0
Botros,0
Ibbs,0
Saxton,0
Kalb,0
Chapman,0
Hetherington,0
Templar,0
Fairclough,0
Abadi,0
Nicholas,0
Markham,0
Macmillan,0
Quraishi,0
Abadi,0
Fowley,0
Exton,0
Dyde,0
Rigley,0
Dickinson,0
Richman,0
Daher,0
Asghar,0
Page,0
Watson,0
Gaber,0
Otoole,0
Titmus,0
Imran,0
Khoury,0
Nightingale,0
Najjar,0
Mill,0
Stanford,0
Gaber,0
Mcghee,0
Maloof,0
Damon,0
Mundy,0
Sarraf,0
Mifsud,0
Grundy,0
Thomas,0
Asghar,0
Quigley,0
Samaha,0
Mcleod,0
Mclellan,0
Aswad,0
Dreyer,0
Ritchie,0
Asker,0
Mifsud,0
Jeffries,0
Hanania,0
Hutton,0
Walpole,0
Hale,0
Sawyer,0
Vallins,0
Chung,0
Poon,0
Boutros,0
Duan,1
Leake,0
Attia,0
Eldeston,0
Almasi,0
Ballantyne,0
Mifsud,0
Wilson,0
Wasem,0
Easdown,0
Shanks,0
Owen,0
Worrall,0
South,0
Benjamin,0
Frazer,0
Lawrie,0
Grogan,0
Rahal,0
Attewell,0
Jewitt,0
Nazari,0
Thurman,0
Wears,0
Grennan,0
Rogerson,0
Flaxman,0
Essa,0
Ba,0
Groom,0
Bei,1
Lattimore,0
Warner,0
Mccann,0
Barton,0
Baz,0
Ganem,0
Asghar,0
Arian,0
Caddy,0
Haines,0
Heatley,0
Nassar,0
Topp,0
Masih,0
Dickson,0
Atiyeh,0
Sabbagh,0
Arian,0
Kerrell,0
Keys,0
Burn,0
Mansour,0
Zogby,0
Cheshire,0
Tahan,0
Tinkler,0
Cham,0
Clayton,0
Armstrong,0
Fakhoury,0
Poulter,0
Ganem,0
Malouf,0
Ashley,0
Burford,0
Gim,1
Ireson,0
Gilbert,0
Khouri,0
Topliss,0
Cronin,0
Hellier,0
Cavanagh,0
Kwei,1
Halabi,0
Cheung,0
Frostick,0
Parish,0
Ormston,0
Hodgkinson,0
Easdale,0
Khoury,0
Dowling,0
Hadad,0
Neary,0
Gaber,0
Fish,0
Maroun,0
Kassis,0
Eggby,0
Werrett,0
Dobson,0
Davy,0
Amari,0
Samaha,0
Impey,0
Shamon,0
Wootton,0
Atiyeh,0
Haddad,0
Dagher,0
Totah,0
Turner,0
Sabbag,0
Macdonald,0
Elvins,0
Tayler,0
Olding,0
Yin,1
Pollock,0
Malouf,0
Ball,0
Dick,0
Fitzsimmons,0
Felix,0
Antoun,0
Moghadam,0
Nurse,0
Lancaster,0
Howell,0
Foston,0
Nader,0
Koury,0
Tatlock,0
Humphrey,0
Fei,1
Riddell,0
Dagher,0
Weaver,0
Hanania,0
Ghannam,0
Hansen,0
Humphries,0
Eckersley,0
Simon,0
Salib,0
Atiyeh,0
Mifsud,0
Watkins,0
Tuma,0
Currie,0
Godwin,0
Manson,0
Enticott,0
Truscott,0
Antar,0
Phillips,0
Liddell,0
Walters,0
Arian,0
Atiyeh,0
Daher,0
Whittingham,0
Turton,0
Dorman,0
Sellars,0
Radford,0
Virgo,0
Handal,0
Trollope,0
Stokes,0
Falsh,0
Cousins,0
Donnachie,0
Mustafa,0
Totah,0
Duke,0
Pitchford,0
Marr,0
Khalifa,0
Desai,0
Brooke,0
Cooke,0
Price,0
Sarkis,0
Unwin,0
Greenslade,0
Samuels,0
Salter,0
Everill,0
Eatherington,0
Kelsey,0
Patchett,0
Vale,0
Sum,1
Tuma,0
Tuma,0
Abboud,0
Nader,0
Qiao,1
Addams,0
Nassar,0
Essop,0
Ferns,0
Chaim,1
Fields,0
Sheridan,0
Falk,0
Bourne,0
Woodcock,0
Lobb,0
Saville,0
Hyde,0
Nanson,0
Zhen,1
Ganim,0
Khoury,0
Blackburn,0
Drury,0
Philpott,0
Lawson,0
Mifsud,0
Mckee,0
Kearney,0
Given,0
Nader,0
Kingdon,0
Longworth,0
Shamoon,0
Naifeh,0
Basara,0
Cuan,1
Woolley,0
Shadid,0
Nartey,0
Nason,0
Fellmen,0
Daniel,0
Marsden,0
Leyland,0
Shadid,0
Thorpe,0
Watkinson,0
Tarr,0
Shuttleworth,0
Peat,0
Jordon,0
Close,0
Mcdermott,0
Xun,1
Lilly,0
Killick,0
Keal,0
Qureshi,0
Mansour,0
Tait,0
Hanania,0
Gaber,0
Povey,0
Dallas,0
Ennis,0
Hawes,0
Shackleton,0
Waite,0
Chu,1
Docherty,0
Overfield,0
Barr,0
Willett,0
Maroun,0
Nutman,0
Weng,1
Bitar,0
Toma,0
Kattan,0
Kaye,0
Nolan,0
Wei,1
Buchan,0
Debenham,0
Bishara,0
Mansour,0
Lomax,0
Edeson,0
Fereday,0
Voakes,0
Eames,0
Seow,1
Granger,0
Kinnaird,0
Lowes,0
Antar,0
Lai,1
Zogby,0
Sleiman,0
Liao,1
Cochrane,0
Laird,0
Christy,0
Haddad,0
Saliba,0
Gerges,0
Mills,0
Naifeh,0
Shamoon,0
Knights,0
Lofthouse,0
Kearns,0
Mcmillan,0
Koury,0
Inson,0
Antar,0
Reisser,0
Shammas,0
Edwick,0
Kassis,0
Wileman,0
Touma,0
Kalb,0
Khouri,0
Aubrey,0
Deeb,0
Baba,0
Furnell,0
Rowson,0
Louth,0
Tze,1
Koury,0
Blake,0
Fletcher,0
Assaf,0
Toma,0
Willis,0
Shamon,0
Fotheringham,0
Meadows,0
Tuma,0
Wasem,0
Maalouf,0
Collett,0
Nader,0
Leyshon,0
Kouri,0
Derrick,0
Harb,0
Foley,0
Arian,0
Totah,0
Vodden,0
Gibbs,0
Asfour,0
Ahern,0
Ling,0
Warburton,0
Denham,0
Boon,0
Rodriguez,0
Rahal,0
Allcott,0
Emmons,0
Oddy,0
Drewett,0
Chandler,0
Judd,0
Sarkis,0
Lewry,0
Hickey,0
Rogers,0
Artliff,0
Koury,0
Johnston,0
Oldroyd,0
Ludgrove,0
Yang,0
Dougherty,0
Kassab,0
Goodwin,0
Ellard,0
Nobbs,0
Simmons,0
Callow,0
Gately,0
Shalhoub,0
Jebson,0
Tyman,0
Villis,0
Attwood,0
Asom,0
Beatty,0
Rice,0
Bishara,0
Zha,1
Atiyeh,0
Arian,0
Tannous,0
Timms,0
Speight,0
Glossop,0
Abboud,0
Grey,0
Royall,0
Dalton,0
Touma,0
Goodall,0
Khoury,0
Seif,0
Levy,0
Kenny,0
Easterbrook,0
Atiyeh,0
Forrester,0
Breen,0
Gold,0
Tindell,0
Carty,0
Cham,0
Hammond,0
Asghar,0
Bahar,0
Juan,1
